Id,League,Round,Date,Time,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over35_FT,Odd_Under35_FT,Odd_Over45_FT,Odd_Under45_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X_FT,Odd_12_FT,Odd_X2_FT,Odd_0x0,Odd_0x1,Odd_0x2,Odd_0x3,Odd_1x0,Odd_1x1,Odd_1x2,Odd_1x3,Odd_2x0,Odd_2x1,Odd_2x2,Odd_2x3,Odd_3x0,Odd_3x1,Odd_3x2,Odd_3x3,Odd_4x4
Eijhlj0s,DENMARK 1,ROUND 10,2025-09-27,13:00,Sonderjyske,FC Copenhagen,6.0,2.5,1.95,1.29,3.5,2.38,1.53,5.5,1.14,6.0,4.5,1.45,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.8,1.95,2.63,1.18,1.13,15.0,8.0,7.5,11.0,19.0,8.5,8.5,12.0,34.0,19.0,17.0,23.0,67.0,41.0,41.0,51.0,201.0
0xCHUQ1c,CYPRUS 1,ROUND 5,2025-09-27,13:00,Pafos,Ol. Nicosia,1.62,2.55,10.0,1.34,3.1,2.47,1.5,5.4,1.13,1.21,5.9,13.0,1.04,9.25,1.22,4.0,1.65,2.15,2.6,1.45,4.45,1.18,2.5,1.47,1.04,1.12,4.65,9.25,23.0,110.0,600.0,5.9,13.0,50.0,250.0,5.6,10.75,40.0,200.0,6.7,13.0,50.0,250.0,101.0
2VHLSFmT,CZECH 1,ROUND 10,2025-09-27,13:00,Hradec Kralove,Liberec,3.0,2.2,3.5,1.4,2.75,2.75,1.4,8.0,1.08,2.3,3.3,3.0,1.05,11.0,1.29,3.5,1.95,1.85,3.4,1.3,6.5,1.11,1.75,2.0,1.36,1.33,1.57,10.0,10.0,15.0,34.0,8.5,6.5,11.0,23.0,11.0,9.5,13.0,34.0,21.0,19.0,26.0,41.0,201.0
YmPt0uTr,ARGENTINA 2,ROUND 33,2025-09-27,13:05,San Telmo,Gimnasia Jujuy,4.33,1.83,3.25,1.67,2.1,4.33,1.2,15.0,1.03,3.3,3.0,2.3,1.14,5.5,1.67,2.1,3.1,1.36,6.5,1.11,17.0,1.03,2.5,1.5,1.57,1.36,1.33,5.5,5.5,9.5,23.0,6.5,6.0,11.0,26.0,15.0,13.0,23.0,51.0,41.0,41.0,51.0,101.0,201.0
MZdzBYdJ,BELGIUM 1,ROUND 9,2025-09-27,13:15,St. Liege,Club Brugge KV,5.5,2.4,2.1,1.3,3.4,2.5,1.5,6.0,1.13,5.25,4.33,1.57,1.03,15.0,1.22,4.0,1.7,2.1,2.63,1.44,5.0,1.17,1.75,2.0,2.3,1.2,1.17,15.0,8.0,8.0,12.0,15.0,8.0,8.5,12.0,29.0,15.0,17.0,23.0,51.0,41.0,41.0,51.0,201.0
CxXHjHpC,SPAIN 1,ROUND 7,2025-09-27,13:30,Mallorca,Alaves,3.2,1.91,4.33,1.62,2.2,4.0,1.22,13.0,1.04,2.35,3.0,3.4,1.13,6.0,1.62,2.3,3.0,1.4,5.5,1.14,13.0,1.04,2.2,1.62,1.3,1.36,1.57,6.0,7.5,15.0,41.0,5.5,6.0,13.0,34.0,9.5,10.0,21.0,51.0,23.0,23.0,41.0,81.0,501.0
O8OeBRnL,GERMANY 1,ROUND 5,2025-09-27,13:30,B. Monchengladbach,Eintracht Frankfurt,3.4,2.5,2.63,1.25,3.75,2.2,1.62,5.0,1.17,3.1,3.6,2.2,1.03,17.0,1.14,5.5,1.53,2.5,2.2,1.67,4.0,1.25,1.44,2.63,1.67,1.29,1.36,19.0,12.0,13.0,21.0,15.0,7.5,9.5,15.0,19.0,12.0,11.0,19.0,34.0,21.0,23.0,29.0,81.0
WEakC2Xp,ENGLAND 1,ROUND 6,2025-09-27,13:30,Nottingham,Sunderland,2.3,2.25,5.0,1.36,3.0,2.75,1.4,8.0,1.08,1.75,3.75,4.5,1.06,10.0,1.3,3.5,1.98,1.88,3.4,1.33,6.5,1.11,1.91,1.91,1.18,1.25,2.0,10.0,13.0,26.0,51.0,7.5,7.5,17.0,41.0,9.0,9.5,19.0,41.0,15.0,17.0,29.0,51.0,351.0
b3jDc0d3,BOSNIA 1,ROUND 9,2025-09-27,13:30,Zeljeznicar,FK Sarajevo,3.3,2.02,3.1,1.42,2.47,2.71,1.4,6.0,1.08,2.7,3.2,2.47,1.02,8.26,1.31,2.87,1.91,1.7,3.1,1.27,6.72,1.05,1.72,1.9,1.52,1.3,1.39,9.5,7.5,11.25,24.0,8.0,5.9,9.0,19.0,12.5,9.25,13.0,28.0,28.0,21.0,29.0,60.0,450.0
UinidPY9,NETHERLANDS 1,ROUND 7,2025-09-27,13:45,FC Volendam,Zwolle,3.2,2.38,3.0,1.29,3.5,2.38,1.53,5.5,1.14,2.75,3.5,2.45,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.53,2.38,1.5,1.29,1.44,15.0,11.0,15.0,23.0,12.0,7.0,10.0,17.0,15.0,10.0,11.0,23.0,29.0,19.0,23.0,34.0,101.0
